1,0.2,5.7,-0.5,-0.167367,0.108548,0.00287853
1,0.2,5.7,-0.5,1.57748,0.0690926,0.00365903
1,0.2,5.7,-0.5,1.9886,0.0532727,0.00263295
1,0.2,5.7,-0.5,2.72156,0.0332101,0.00745016
1,0.2,5.7,-0.5,4.31927,0.0542547,0.010288
1,0.2,5.7,-0.5,4.57417,0.0639095,0.00287568
1,0.2,5.7,-0.5,5.54995,0.098902,0.0065851
1,0.2,5.7,-0.7,0.309026,0.076588,0.00892149
1,0.2,5.7,-0.7,0.573676,0.0733935,0.00351722
1,0.2,5.7,-0.7,2.35689,0.0295528,9.35533e-05
1,0.2,5.7,-0.7,2.06204,0.0361918,0.0133355
1,0.2,5.7,-0.7,3.73576,0.0261049,0.0238618
1,0.2,5.7,-0.7,4.6237,0.0470315,0.00257069
1,0.2,5.7,-0.7,6.05317,0.0771659,0.00343106
1,0.2,5.7,-1.2,0.624503,0.0423389,0.0238143
1,0.2,5.7,-1.2,1.10068,0.0364074,0.0103409
1,0.2,5.7,-1.2,0.824668,0.0401473,0.000696375
1,0.2,5.7,-1.2,3.10717,0.012382,0.00228521
1,0.2,5.7,-1.2,4.54344,0.0261325,0.00496282
1,0.2,5.7,-1.2,5.54045,0.0411022,0.000165818
1,0.2,5.7,-1.2,5.90618,0.0442585,0.00254012
1,0.2,5.7,-1.7,-0.147622,0.031962,0.00464009
1,0.2,5.7,-1.7,1.16741,0.0249922,0.0144749
1,0.2,5.7,-1.7,2.27313,0.0128828,0.00616722
1,0.2,5.7,-1.7,3.28716,0.00886811,0.00534447
1,0.2,5.7,-1.7,4.16189,0.0143102,0.00834524
1,0.2,5.7,-1.7,5.2628,0.026499,0.00115993
1,0.2,5.7,-1.7,5.73767,0.0303824,0.00451579

